Consulta,Clics,Impresiones,CTR,Posición
lima peru catacombs,13.0,663.0,0.0196,7.96
travel agent peru,13.0,618.0,0.021,5.26
travel agency in lima peru,13.0,434.0,0.03,4.22
inca sun disk,13.0,259.0,0.0502,2.53
agencia de turismo em cusco peru,13.0,251.0,0.0518,1.7
arequipa elevation,13.0,161.0,0.0807,10.7
peru packages,12.0,2283.0,0.0053,23.22
siete borreguitos,12.0,1481.0,0.0081,6.75
machu picchu face,12.0,1460.0,0.0082,1.63
cusco elevation,12.0,1274.0,0.0094,23.4
dia de los muertos en peru,12.0,929.0,0.0129,6.84
all inclusive trips to machu picchu,12.0,853.0,0.0141,6.53
all inclusive trip to machu picchu,12.0,543.0,0.0221,3.51
agencias de turismo cusco,12.0,150.0,0.08,3.31
peru tour operator,11.0,3263.0,0.0034,11.54
machu picchu tickets,11.0,2092.0,0.0053,56.12
chinchero ruins,11.0,1846.0,0.006,8.35
inca aqueducts,11.0,1567.0,0.007,7.8
machu picchu circuit 3,11.0,1444.0,0.0076,8.64
circuit 2 machu picchu,11.0,1320.0,0.0083,7.03
peru travel agents,11.0,1209.0,0.0091,6.05
love park lima peru,11.0,951.0,0.0116,6.2
why do peruvians eat guinea pigs,11.0,794.0,0.0139,4.0
coca tee,11.0,598.0,0.0184,9.21
queros peru,11.0,465.0,0.0237,4.68
machu picchu trip packages,11.0,412.0,0.0267,13.9
best peru tour packages all inclusive,11.0,353.0,0.0312,4.81
agencias de viajes cusco,11.0,282.0,0.039,2.98
peru travel,10.0,4742.0,0.0021,28.91
bridge of sighs lima,10.0,3375.0,0.003,8.81
trips to peru,10.0,3294.0,0.003,26.21
machu picchu trip package,10.0,2408.0,0.0042,15.48
circuit 1a machu picchu,10.0,1000.0,0.01,2.66
basilica and convent of san francisco,10.0,984.0,0.0102,8.19
lord of miracles peru,10.0,673.0,0.0149,8.15
travel agencies in peru,10.0,660.0,0.0152,6.05
agencia de viajes cusco,10.0,602.0,0.0166,6.74
snow in peru,10.0,567.0,0.0176,5.97
holy week meals,10.0,265.0,0.0377,3.62
cuzco,10.0,216.0,0.0463,4.12
peru local travel agency,10.0,148.0,0.0676,8.09
carnaval lima 2026,10.0,67.0,0.1493,7.06
lima carnival,10.0,62.0,0.1613,2.27
geoglyphs,9.0,12714.0,0.0007,7.27
parque del amor,9.0,11075.0,0.0008,8.5
queros,9.0,10288.0,0.0009,8.02
chicha de jora,9.0,8470.0,0.0011,6.0
animals in peru,9.0,8420.0,0.0011,4.61
peru vacation,9.0,7860.0,0.0011,18.95
huaca pucllana,9.0,3399.0,0.0026,21.67
machu picchu peru,9.0,2803.0,0.0032,52.37
costa verde lima peru,9.0,2536.0,0.0035,7.65
lima peru,9.0,2534.0,0.0036,45.92
lord of miracles,9.0,1639.0,0.0055,8.21
peru all inclusive vacation packages,9.0,1131.0,0.008,10.75
basilica cathedral of lima,9.0,672.0,0.0134,8.08
pisco sour,9.0,667.0,0.0135,3.08
convent of santo domingo lima,9.0,641.0,0.014,6.65
machu picchu all inclusive tours,9.0,543.0,0.0166,4.9
machu picchu tours including flights,9.0,504.0,0.0179,9.14
basilica and convent of santo domingo,9.0,460.0,0.0196,5.5
machu pichu trips,9.0,417.0,0.0216,10.91
hot springs in aguas calientes peru,9.0,412.0,0.0218,12.5
all saints day peru,9.0,353.0,0.0255,5.17
santo domingo church lima,9.0,292.0,0.0308,7.38
basilica and convent of nuestra señora de la merced,9.0,276.0,0.0326,4.39
peru carnival 2026,9.0,209.0,0.0431,3.42
huarez,9.0,206.0,0.0437,3.36
agencias de viajes en peru,9.0,204.0,0.0441,11.73
agencia turismo cusco,9.0,142.0,0.0634,10.38
clima en lima perú,9.0,82.0,0.1098,2.76
laguna paron vs laguna 69,9.0,49.0,0.1837,2.69
lima carnival 2026,9.0,45.0,0.2,1.42
lima cathedral mass times,9.0,40.0,0.225,1.15
huacachina,8.0,8916.0,0.0009,21.86
machu picchu tour,8.0,5742.0,0.0014,46.28
peru tour companies,8.0,3399.0,0.0024,13.32
costa verde miraflores,8.0,3133.0,0.0026,4.99
peru guinea pig,8.0,3095.0,0.0026,9.01
huaraz elevation,8.0,1594.0,0.005,6.51
calle 7 borreguitos cusco,8.0,1588.0,0.005,9.64
peru catacombs,8.0,1133.0,0.0071,6.35
machu picchu hot springs,8.0,1048.0,0.0076,10.12
agencia de turismo peru,8.0,732.0,0.0109,21.47
tour operator peru,8.0,694.0,0.0115,19.59
love park peru,8.0,687.0,0.0116,6.02
peru famous animal,8.0,677.0,0.0118,3.51
travel packages to machu picchu,8.0,560.0,0.0143,10.92
hot springs aguas calientes peru,8.0,536.0,0.0149,8.72
peru coca tea,8.0,519.0,0.0154,8.67
catacombs in lima,8.0,465.0,0.0172,9.03
trips to peru machu picchu,8.0,455.0,0.0176,15.7
travel agency lima peru,8.0,429.0,0.0186,5.19
weather in machu picchu,8.0,414.0,0.0193,3.83
peru trips all inclusive,8.0,406.0,0.0197,9.38
lima boardwalk,8.0,361.0,0.0222,5.47
agencias de turismo en cusco,8.0,251.0,0.0319,2.7
aguas caliente hot springs,8.0,210.0,0.0381,8.44
candelaria puno 2026,8.0,152.0,0.0526,5.58
altura arequipa,8.0,108.0,0.0741,2.01
peru currency,8.0,101.0,0.0792,3.95
clima machu picchu,8.0,66.0,0.1212,2.82
how high is arequipa,8.0,64.0,0.125,2.34
clima en cusco,8.0,57.0,0.1404,2.53
qhaswa raymi,8.0,48.0,0.1667,2.67
trips to machu picchu,7.0,4080.0,0.0017,26.01
pisco,7.0,3637.0,0.0019,2.69
downtown lima,7.0,3358.0,0.0021,6.3
coca tea benefits,7.0,2680.0,0.0026,7.17
lima downtown,7.0,1513.0,0.0046,4.82
animal peru,7.0,1278.0,0.0055,9.11
santo domingo convent,7.0,1169.0,0.006,8.73
"national museum of archaeology, anthropology and history of peru",7.0,1048.0,0.0067,7.99
circuit 3a machu picchu,7.0,848.0,0.0083,3.44
machu picchu peru travel packages,7.0,767.0,0.0091,7.97
cusco puma,7.0,650.0,0.0108,2.05
what to do in ica,7.0,597.0,0.0117,7.46
church of la merced,7.0,584.0,0.012,7.41
hot springs machu picchu,7.0,536.0,0.0131,8.58
lima travel agency,7.0,492.0,0.0142,10.16
all inclusive trip to peru,7.0,388.0,0.018,8.6
travel agency cusco,7.0,356.0,0.0197,16.63
raqchi archaeological park,7.0,345.0,0.0203,9.23
perou,7.0,291.0,0.0241,3.65
boardwalk miraflores,7.0,207.0,0.0338,8.21
butterfly sanctuary,7.0,201.0,0.0348,13.63
where to exchange money in lima,7.0,191.0,0.0366,6.35
aguas calientes hot spring,7.0,184.0,0.038,6.6
agencia de turismo cusco,7.0,162.0,0.0432,5.39
huaraz höhe,7.0,155.0,0.0452,5.9
clima cusco,7.0,81.0,0.0864,2.79
machu picchu altura,7.0,62.0,0.1129,2.0
best restaurants in trujillo peru,7.0,59.0,0.1186,8.75
clima en cusco perú,7.0,56.0,0.125,2.32
wie hoch liegt arequipa,7.0,54.0,0.1296,2.0
arequipa altitud,7.0,50.0,0.14,2.32
clima en machu picchu,7.0,41.0,0.1707,2.46
puka pukara,6.0,7478.0,0.0008,9.7
peruvian animals,6.0,5850.0,0.001,3.52
peru trip package,6.0,2429.0,0.0025,19.64
machu picchu trip,6.0,2402.0,0.0025,29.67
travel peru,6.0,2312.0,0.0026,21.45
sol de echenique,6.0,2135.0,0.0028,8.14
peru travel package,6.0,2112.0,0.0028,15.78
vacation packages to peru,6.0,1539.0,0.0039,23.28
cuy,6.0,1440.0,0.0042,3.72
agencia de viajes peru,6.0,1260.0,0.0048,16.95
lima to cusco train,6.0,1250.0,0.0048,17.49
all inclusive peru machu picchu,6.0,1119.0,0.0054,8.81
machu picchu vacation packages all inclusive,6.0,1087.0,0.0055,6.85
coca tea for altitude sickness,6.0,1049.0,0.0057,7.96
aguas calientes,6.0,691.0,0.0087,48.84
vacation packages to machu picchu,6.0,619.0,0.0097,9.34
travel agent in peru,6.0,525.0,0.0114,5.6
lima peru cathedral,6.0,496.0,0.0121,7.19
can you buy pisco in the us,6.0,443.0,0.0135,3.32
huaca pucllana history,6.0,408.0,0.0147,8.88
cathedral de lima,6.0,384.0,0.0156,7.77
holy week food,6.0,380.0,0.0158,4.23
travel agencies peru,6.0,378.0,0.0159,5.93
