Consulta,Clics,Impresiones,CTR,Posición
puno,3.0,1817.0,0.0017,44.51
machu picchu holiday package,3.0,1809.0,0.0017,40.41
trip to machu picchu,3.0,1746.0,0.0017,28.08
peruvian animal,3.0,1555.0,0.0019,4.01
cusco tourist ticket,3.0,1549.0,0.0019,12.75
best time to visit lima,3.0,1511.0,0.002,11.9
floating islands peru,3.0,1442.0,0.0021,4.61
chaskis,3.0,1394.0,0.0022,7.22
tours of peru,3.0,1355.0,0.0022,50.74
el parque del amor,3.0,1183.0,0.0025,9.11
circuit 1 machu picchu,3.0,1135.0,0.0026,10.12
pachamama peru,3.0,1096.0,0.0027,13.09
luxury tours peru,3.0,1037.0,0.0029,45.3
huaraz peru altitude,3.0,1026.0,0.0029,8.77
peruvian pisco,3.0,1017.0,0.0029,12.18
all inclusive trips to peru,3.0,1014.0,0.003,12.0
machu picchu vacation package,3.0,898.0,0.0033,13.26
travel packages to peru,3.0,872.0,0.0034,20.51
color mountain,3.0,797.0,0.0038,3.39
circuit 3b machu picchu,3.0,784.0,0.0038,1.8
peru all inclusive vacations,3.0,781.0,0.0038,16.27
miraflores costa verde,3.0,774.0,0.0039,3.56
laguna humantay,3.0,766.0,0.0039,44.7
travel agency in cusco peru,3.0,715.0,0.0042,8.23
coca leaves tea,3.0,701.0,0.0043,11.12
bridge of sighs peru,3.0,690.0,0.0043,9.2
machu pichu,3.0,674.0,0.0045,36.99
coca leaves,3.0,667.0,0.0045,1.91
oasis ica,3.0,644.0,0.0047,5.3
christmas in peru,3.0,634.0,0.0047,14.39
what animals live in peru,3.0,633.0,0.0047,3.97
cathedral lima,3.0,607.0,0.0049,9.65
chinchero archaeological site,3.0,593.0,0.0051,7.18
peru coastline,3.0,568.0,0.0053,7.13
machu picchu circuit 3a,3.0,537.0,0.0056,3.77
peru travel companies,3.0,527.0,0.0057,11.31
san francisco catacombs,3.0,522.0,0.0057,11.98
machu picchu peru vacation,3.0,500.0,0.006,20.5
"national museum of the archaeology, anthropology, and history of peru, lima",3.0,495.0,0.0061,6.66
peru snow,3.0,488.0,0.0061,6.27
lake titicaca altitude sickness,3.0,478.0,0.0063,7.79
machu picchu circuit 3b,3.0,475.0,0.0063,1.84
la hoja de coca sirve para dormir,3.0,473.0,0.0063,1.91
what to do in puno,3.0,471.0,0.0064,16.97
the lord of miracles,3.0,449.0,0.0067,8.66
"basilica and convent of santo domingo, lima photos",3.0,444.0,0.0068,6.14
peru package tours,3.0,417.0,0.0072,31.11
peru carnival,3.0,407.0,0.0074,6.47
puno weather,3.0,407.0,0.0074,18.28
colca canyon altitude sickness,3.0,396.0,0.0076,6.1
ica city peru,3.0,395.0,0.0076,10.77
machu picchu outfits,3.0,394.0,0.0076,5.15
why do people eat guinea pigs,3.0,387.0,0.0078,4.42
what to see in lima,3.0,353.0,0.0085,29.99
is circuit 3 machu picchu worth it,3.0,350.0,0.0086,4.94
carnival in peru,3.0,349.0,0.0086,7.56
what to wear in machu picchu,3.0,341.0,0.0088,4.62
peru machu picchu vacation packages,3.0,330.0,0.0091,11.87
temple of pachacamac,3.0,320.0,0.0094,6.74
how does coca tea help with altitude sickness,3.0,318.0,0.0094,7.92
carnaval lima,3.0,316.0,0.0095,9.61
lima cathedral peru,3.0,303.0,0.0099,8.56
colour mountain peru,3.0,302.0,0.0099,13.68
cathedral lima peru,3.0,296.0,0.0101,8.78
museums in peru,3.0,290.0,0.0103,8.95
mercado san blas cusco,3.0,289.0,0.0104,12.01
mate de coca,3.0,287.0,0.0105,2.44
peruvian catacombs,3.0,287.0,0.0105,9.59
golden sun disk,3.0,275.0,0.0109,2.53
machu picchu what to wear,3.0,274.0,0.0109,2.98
how does peru celebrate day of the dead,3.0,267.0,0.0112,3.05
machu picchu route 3a,3.0,267.0,0.0112,5.27
"basilica and convent of santo domingo, lima, peru",3.0,266.0,0.0113,6.87
7 lakes peru,3.0,260.0,0.0115,5.92
yacumama,3.0,260.0,0.0115,7.61
flamencos andinos,3.0,257.0,0.0117,1.0
golden sun meaning,3.0,251.0,0.012,3.87
templos incas más importantes,3.0,250.0,0.012,8.23
is there snow in peru,3.0,244.0,0.0123,5.49
what to eat in holy week,3.0,242.0,0.0124,6.45
best travel agency in peru,3.0,241.0,0.0124,10.63
safest neighborhoods in lima peru,3.0,240.0,0.0125,5.75
peru carnaval,3.0,239.0,0.0126,8.17
machu picchu irrigation system,3.0,234.0,0.0128,10.31
machu picchu circuit 3 view,3.0,229.0,0.0131,4.87
cuyes,3.0,227.0,0.0132,2.67
animal de perú,3.0,218.0,0.0138,9.23
pisco sour day 2026,3.0,215.0,0.014,5.65
why does coca tea help with altitude,3.0,213.0,0.0141,5.91
souvenirs peru,3.0,213.0,0.0141,45.88
amazon rainforest mythical creatures,3.0,212.0,0.0142,4.77
arequipa peru altitude,3.0,209.0,0.0144,32.0
peru travel advice,3.0,208.0,0.0144,59.94
how to dress for machu picchu,3.0,204.0,0.0147,3.25
cusco shape of puma,3.0,202.0,0.0149,1.89
travel agencies for peru,3.0,202.0,0.0149,4.48
church of la merced lima,3.0,201.0,0.0149,5.72
lima to nazca lines,3.0,201.0,0.0149,12.48
what to do in arequipa,3.0,193.0,0.0155,20.8
machu picchu circuit 2b,3.0,192.0,0.0156,2.44
paru paru peru,3.0,190.0,0.0158,8.23
holy week food traditions,3.0,189.0,0.0159,4.02
machu pichu vacation,3.0,189.0,0.0159,9.9
miraflores boardwalk lima,3.0,179.0,0.0168,6.74
carnaval lima peru,3.0,171.0,0.0175,6.88
santo domingo monastery lima,3.0,171.0,0.0175,7.1
amazon rainforest myths,3.0,165.0,0.0182,8.7
do peruvians celebrate dia de los muertos,3.0,162.0,0.0185,3.08
tours to machu picchu from us,3.0,159.0,0.0189,26.63
machu picchu route 3b,3.0,157.0,0.0191,2.43
cusco shaped like a puma,3.0,155.0,0.0194,1.55
cathedrals in peru,3.0,155.0,0.0194,6.99
food for holy week,3.0,147.0,0.0204,3.76
carnival in peru 2026,3.0,133.0,0.0226,2.9
lima churches,3.0,132.0,0.0227,21.49
historic sanctuary of machu picchu photos,3.0,128.0,0.0234,2.53
the lord of the miracles,3.0,127.0,0.0236,7.36
golden sun disc,3.0,121.0,0.0248,4.07
holy week,3.0,115.0,0.0261,2.62
churches in lima,3.0,106.0,0.0283,18.1
agencia de turismo em cusco,3.0,103.0,0.0291,3.19
yes,3.0,103.0,0.0291,9.57
best pisco to buy in peru,3.0,97.0,0.0309,8.61
weather in cusco,3.0,97.0,0.0309,16.18
amazon rainforest mythology,3.0,94.0,0.0319,5.48
best hotels in puno peru,3.0,91.0,0.033,17.55
peru catacombs lima,3.0,89.0,0.0337,6.71
agencia de viaje cusco,3.0,86.0,0.0349,12.6
temperature in cusco peru,3.0,86.0,0.0349,23.52
what to wear to machu picchu in may,3.0,80.0,0.0375,7.12
agua caliente peru hot springs,3.0,74.0,0.0405,6.3
carnaval en lima 2026,3.0,74.0,0.0405,11.32
weather in peru,3.0,72.0,0.0417,3.06
altitude of arequipa peru,3.0,69.0,0.0435,21.88
10 postres peruanos,3.0,66.0,0.0455,9.86
national museum lima,3.0,62.0,0.0484,8.29
carnival ayacucho,3.0,61.0,0.0492,2.77
grandtravel,3.0,60.0,0.05,23.17
arequipa peru,3.0,58.0,0.0517,46.76
quito elevation,3.0,56.0,0.0536,2.38
altitud huaraz,3.0,54.0,0.0556,7.0
temperature in machu picchu,3.0,53.0,0.0566,18.06
temperatura cusco,3.0,50.0,0.06,2.5
wetter machu picchu,3.0,46.0,0.0652,3.91
machu picchu circuit 1d,3.0,42.0,0.0714,3.62
"weather cusco, peru",3.0,42.0,0.0714,4.0
karneval peru 2026,3.0,42.0,0.0714,4.64
weather in peru in april,3.0,40.0,0.075,2.45
перу,3.0,40.0,0.075,3.62
candelaria 2026 puno,3.0,40.0,0.075,4.95
altitud arequipa,3.0,36.0,0.0833,2.03
viajes a machu picchu paquetes 2026,3.0,36.0,0.0833,4.89
cusco calle 7 borreguitos,3.0,36.0,0.0833,5.81
temperatura en cusco,3.0,35.0,0.0857,2.37
day of the dead cusco,3.0,34.0,0.0882,2.68
weather in machu picchu peru,3.0,33.0,0.0909,8.03
chinchero market vs pisac market,3.0,32.0,0.0938,8.09
temperature in cusco,3.0,32.0,0.0938,28.88
cathedral of lima tickets,3.0,30.0,0.1,3.63
weather in machu picchu peru in november,3.0,29.0,0.1034,7.9
sistema hidraulico inca,3.0,29.0,0.1034,8.9
best coffee shops in cusco,3.0,29.0,0.1034,12.21
altitude sickness meaning,3.0,28.0,0.1071,2.0
temperatura machu picchu,3.0,28.0,0.1071,3.96
"clima en cusco, perú",3.0,27.0,0.1111,2.59
temperatura en lima,3.0,24.0,0.125,2.79
weather lima,3.0,24.0,0.125,3.67
day of the dead in peru traditions,3.0,23.0,0.1304,1.83
produit interdit au pérou,3.0,22.0,0.1364,2.64
altitude arequipa pérou,3.0,20.0,0.15,2.0
peru reisadvies,3.0,20.0,0.15,2.0
altura de arequipa sobre el nivel del mar,3.0,19.0,0.1579,2.0
cusco altura,3.0,19.0,0.1579,2.05
el tiempo en cuzco,3.0,19.0,0.1579,3.05
carnival cusco 2026,3.0,17.0,0.1765,3.06
things to do and see in lima peru,3.0,16.0,0.1875,31.81
temperatura en cusco perú,3.0,15.0,0.2,2.6
valle sagrado de los incas,3.0,15.0,0.2,18.87
lima pérou,3.0,14.0,0.2143,11.07
qhaswa raymi cusco 2026,3.0,12.0,0.25,2.33
temperatura en lima perú,3.0,12.0,0.25,2.42
clima de 10 días para cusco,3.0,11.0,0.2727,4.0
arequipa höjd,3.0,10.0,0.3,2.0
arequipa time now,3.0,10.0,0.3,2.0
meteo perou,3.0,10.0,0.3,3.2
el tiempo en cusco,3.0,9.0,0.3333,3.11
clima en perú en abril,3.0,7.0,0.4286,2.29
qhaswa raymi cusco,3.0,6.0,0.5,2.33
tiempo en cuzco,3.0,4.0,0.75,4.0
agência de turismo peru,3.0,3.0,1.0,3.0
yacumama facts,3.0,3.0,1.0,8.33
ica,2.0,32205.0,0.0001,11.29
peru travel tips,2.0,6405.0,0.0003,9.47
things to do in machu picchu,2.0,5979.0,0.0003,5.74
peru vacations,2.0,5729.0,0.0003,25.68
peru tour package,2.0,4721.0,0.0004,28.08
lima to cusco,2.0,4200.0,0.0005,39.41
flamenco andino,2.0,4138.0,0.0005,1.04
best peru tour packages,2.0,3494.0,0.0006,34.55
pachamama meaning,2.0,3379.0,0.0006,4.54
peru trip,2.0,2972.0,0.0007,45.98
best time to visit machu picchu,2.0,2473.0,0.0008,57.04
pachamama ritual,2.0,2417.0,0.0008,4.11
best machu picchu tour packages,2.0,2078.0,0.001,24.62
colca canyon,2.0,2045.0,0.001,54.17
things to do in peru,2.0,2030.0,0.001,68.84
trips to peru all inclusive,2.0,2011.0,0.001,14.12
peru tour,2.0,1895.0,0.0011,39.24
peru wildlife,2.0,1853.0,0.0011,7.1
peru travels,2.0,1813.0,0.0011,36.04
parks in lima,2.0,1522.0,0.0013,19.32
peruvian food,2.0,1442.0,0.0014,42.39
machu pichu tours,2.0,1331.0,0.0015,49.58
where do they eat guinea pigs,2.0,1243.0,0.0016,6.52
huacachina oasis,2.0,1236.0,0.0016,16.37
peru treks,2.0,1116.0,0.0018,47.97
do they eat guinea pigs in peru,2.0,1113.0,0.0018,5.01
peru plug type,2.0,1113.0,0.0018,10.57
san pedro market cusco,2.0,1103.0,0.0018,17.71
luxury train to machu picchu,2.0,1094.0,0.0018,30.61
do people eat guinea pigs,2.0,1086.0,0.0018,6.94
things to do in ica,2.0,1086.0,0.0018,14.42
qenqo peru,2.0,1083.0,0.0018,11.34
money exchange lima,2.0,1062.0,0.0019,11.41
pisco near me,2.0,1049.0,0.0019,10.1
uros floating islands,2.0,1043.0,0.0019,21.18
all inclusive peru vacation,2.0,1026.0,0.0019,13.14
travel to peru,2.0,1024.0,0.002,64.06
guinea pigs peru,2.0,1016.0,0.002,14.82
chicha,2.0,1004.0,0.002,9.02
lares trek peru,2.0,1001.0,0.002,55.71
lima peru beaches,2.0,998.0,0.002,16.88
chicha drink,2.0,994.0,0.002,6.55
7 borreguitos,2.0,973.0,0.0021,7.57
chaski,2.0,962.0,0.0021,8.12
machu picchu weather december,2.0,956.0,0.0021,6.87
does coca tea have caffeine,2.0,950.0,0.0021,12.15
church in lima,2.0,945.0,0.0021,9.68
what animals are in peru,2.0,941.0,0.0021,2.54
what is a geoglyph,2.0,917.0,0.0022,6.42
peru festivals,2.0,915.0,0.0022,18.49
travel packages peru,2.0,915.0,0.0022,23.94
peru rainy season,2.0,912.0,0.0022,11.77
paracas,2.0,861.0,0.0023,45.73
animal similar to llama,2.0,815.0,0.0025,8.56
geoglyphs definition,2.0,793.0,0.0025,4.55
machu picchu circuits,2.0,785.0,0.0025,47.24
best hotels in lima peru,2.0,780.0,0.0026,44.68
currency exchange lima,2.0,774.0,0.0026,8.98
cusco parade today,2.0,770.0,0.0026,8.73
altitude huaraz,2.0,749.0,0.0027,8.94
rainy season peru,2.0,743.0,0.0027,9.16
cusco peru travel agency,2.0,730.0,0.0027,14.67
things to do in ica peru,2.0,691.0,0.0029,10.84
catacombs,2.0,685.0,0.0029,11.93
peru trips packages,2.0,675.0,0.003,19.99
petroglifos y geoglifos,2.0,654.0,0.0031,5.78
peru vacations packages,2.0,643.0,0.0031,16.61
winay wayna,2.0,634.0,0.0032,13.07
inca monuments,2.0,631.0,0.0032,5.98
peru christmas traditions,2.0,625.0,0.0032,9.25
park of love,2.0,600.0,0.0033,6.17
pachamama,2.0,594.0,0.0034,10.45
trujillo peru weather,2.0,578.0,0.0035,10.89
miraflores beach,2.0,553.0,0.0036,7.44
currency exchange near me,2.0,549.0,0.0036,7.6
machu pichu tour,2.0,547.0,0.0037,31.17
candelaria feast 2026,2.0,538.0,0.0037,5.87
puka pukara archaeological complex,2.0,537.0,0.0037,12.25
sacsayhuaman peru,2.0,533.0,0.0038,30.5
basilica lima,2.0,518.0,0.0039,8.34
petroglyphs and geoglyphs,2.0,516.0,0.0039,2.22
peru tea,2.0,515.0,0.0039,7.11
san francisco catacombs lima,2.0,507.0,0.0039,10.71
tour packages to peru,2.0,507.0,0.0039,27.48
halloween in peru,2.0,501.0,0.004,9.57
larco herrera museum,2.0,495.0,0.004,14.75
cusco altitude sickness,2.0,495.0,0.004,30.91
tea for altitude sickness,2.0,487.0,0.0041,7.49
what to do in ica peru,2.0,478.0,0.0042,8.89
2 day inca trail to machu picchu,2.0,466.0,0.0043,47.48
wiñay wayna,2.0,465.0,0.0043,11.34
convent of santo domingo,2.0,463.0,0.0043,7.96
lima love park,2.0,462.0,0.0043,6.23
is peru safe to travel,2.0,461.0,0.0043,48.59
cathedral in lima peru,2.0,456.0,0.0044,6.66
santo domingo church peru,2.0,452.0,0.0044,7.64
peruvian temples,2.0,434.0,0.0046,11.27
bridge of sighs lima peru,2.0,433.0,0.0046,9.32
monastery of san francisco lima,2.0,430.0,0.0047,12.92
lima animal peru,2.0,426.0,0.0047,2.89
lima peru costa verde,2.0,410.0,0.0049,7.3
peru petroglyphs,2.0,408.0,0.0049,4.41
trip to peru package,2.0,375.0,0.0053,19.69
churches in peru,2.0,367.0,0.0054,9.75
route 3a machu picchu,2.0,364.0,0.0055,5.08
barranco bridge of sighs,2.0,363.0,0.0055,8.12
ica desert peru,2.0,361.0,0.0055,11.13
inca temples in peru,2.0,358.0,0.0056,7.39
train from lima to cusco,2.0,349.0,0.0057,19.17
things to do in barranco lima,2.0,343.0,0.0058,5.46
vacation to peru machu picchu,2.0,341.0,0.0059,29.98
bajada de reyes,2.0,339.0,0.0059,6.72
hot springs,2.0,335.0,0.006,8.58
route 1a machu picchu,2.0,327.0,0.0061,3.34
christ the redeemer peru,2.0,323.0,0.0062,3.24
metropolitan cathedral of lima,2.0,316.0,0.0063,8.81
historia del señor de los milagros,2.0,315.0,0.0063,2.12
statue of christ cusco,2.0,314.0,0.0064,9.0
trujillo,2.0,313.0,0.0064,4.62
puno cathedral,2.0,308.0,0.0065,10.46
church of san francisco lima,2.0,297.0,0.0067,11.46
nazca lines from lima,2.0,285.0,0.007,10.81
coca tea in peru,2.0,279.0,0.0072,7.96
san francisco cathedral lima,2.0,279.0,0.0072,11.94
weather in lima peru,2.0,276.0,0.0072,3.43
inca sun disc,2.0,274.0,0.0073,2.64
peru package tour,2.0,267.0,0.0075,39.42
jesus statue in peru,2.0,263.0,0.0076,3.59
coca leaves effect,2.0,260.0,0.0077,3.58
vacation packages machu picchu,2.0,260.0,0.0077,8.7
lima catacombs hours,2.0,258.0,0.0078,4.93
lima peru downtown,2.0,253.0,0.0079,12.79
pisco liquor,2.0,251.0,0.008,4.78
geoglyphs meaning in hindi,2.0,251.0,0.008,9.46
where can i buy pisco near me,2.0,250.0,0.008,9.81
peru tourism packages,2.0,248.0,0.0081,19.85
incas temples,2.0,247.0,0.0081,3.93
easter in peru,2.0,244.0,0.0082,37.61
circuit 3,2.0,243.0,0.0082,5.37
temples incas,2.0,243.0,0.0082,27.87
how to get to puno from lima,2.0,242.0,0.0083,27.17
tour packages to machu picchu,2.0,239.0,0.0084,8.57
package to machu picchu,2.0,235.0,0.0085,10.73
machu picchu photos,2.0,234.0,0.0085,38.34
definición de geoglifos,2.0,231.0,0.0087,9.03
basilica and convent of san francisco lima,2.0,229.0,0.0087,9.41
inca irrigation canals,2.0,228.0,0.0088,6.11
peruvian celebrations,2.0,225.0,0.0089,15.91
coca plant,2.0,222.0,0.009,2.49
san francisco monastery lima,2.0,222.0,0.009,40.56
pisco buy,2.0,220.0,0.0091,10.7
machu picchu travel package costco,2.0,219.0,0.0091,13.42
inca chicha,2.0,212.0,0.0094,7.79
machu picchu face mountain,2.0,210.0,0.0095,3.53
face of machu picchu,2.0,210.0,0.0095,5.07
altitude of huaraz peru,2.0,207.0,0.0097,5.6
vacations to machu picchu,2.0,207.0,0.0097,9.01
cuzco puma,2.0,204.0,0.0098,1.1
best time to visit peru lima,2.0,203.0,0.0099,5.08
huaca pucllana hours,2.0,203.0,0.0099,8.19
churches in lima peru,2.0,203.0,0.0099,14.12
petroglyphs peru,2.0,202.0,0.0099,4.19
huaraz altitude sickness,2.0,202.0,0.0099,7.03
peru national museum,2.0,202.0,0.0099,9.53
is trujillo peru safe,2.0,198.0,0.0101,3.11
rafael larco herrera,2.0,198.0,0.0101,9.58
what to do in huaraz,2.0,194.0,0.0103,8.53
sacsayhuaman mystery,2.0,185.0,0.0108,4.23
agencias de viaje en peru,2.0,183.0,0.0109,7.86
machu picchu 3b circuit,2.0,178.0,0.0112,1.57
peru all inclusive resort machu picchu,2.0,178.0,0.0112,9.16
coca tea bags,2.0,177.0,0.0113,16.77
machu picchu statue,2.0,175.0,0.0114,1.15
what should i wear to machu picchu,2.0,175.0,0.0114,4.5
coca leaf tea peru,2.0,175.0,0.0114,6.94
sol echenique,2.0,173.0,0.0116,6.85
agencias cusco,2.0,173.0,0.0116,7.08
machu picchu tickets sold out,2.0,173.0,0.0116,11.27
tour to peru from us,2.0,173.0,0.0116,43.93
what to wear in peru in april,2.0,172.0,0.0116,4.98
cusco peru altitude,2.0,172.0,0.0116,28.67
choquequirao trek to machu picchu,2.0,170.0,0.0118,49.09
disco de echenique,2.0,169.0,0.0118,6.04
agencia de viajes en cusco peru,2.0,169.0,0.0118,8.49
peruvian tour companies,2.0,169.0,0.0118,10.13
miraflores beach peru,2.0,166.0,0.012,13.21
machu picchu spiritual energy,2.0,164.0,0.0122,9.04
cusco art,2.0,164.0,0.0122,10.41
capital of peru,2.0,164.0,0.0122,15.17
pisco sour recipe,2.0,160.0,0.0125,3.19
circuit 3a,2.0,158.0,0.0127,4.39
agua caliente hot springs,2.0,157.0,0.0127,17.01
irrigation system in inca civilization,2.0,155.0,0.0129,3.55
butterfly sanctuary aguas calientes,2.0,155.0,0.0129,7.68
peru tour company,2.0,155.0,0.0129,13.14
machu picchu circuit 2 tour,2.0,154.0,0.013,10.38
saat rangon ki pahadi kahan sthit hai,2.0,152.0,0.0132,4.65
machu picchu 3a circuit,2.0,151.0,0.0132,4.14
what to do in trujillo peru,2.0,150.0,0.0133,6.05
machu picchu travel packages with airfare,2.0,149.0,0.0134,3.83
where to exchange money in lima peru,2.0,149.0,0.0134,5.52
altitude of huaraz,2.0,149.0,0.0134,5.77
chinchero archeological site,2.0,148.0,0.0135,6.75
santo domingo peru lima,2.0,146.0,0.0137,8.23
how high is cusco,2.0,146.0,0.0137,34.62
things to do in cusco city center,2.0,145.0,0.0138,1.89
machu pichu trip,2.0,144.0,0.0139,10.88
food to eat during holy week,2.0,142.0,0.0141,5.25
si,2.0,139.0,0.0144,4.51
coco tea for altitude sickness,2.0,139.0,0.0144,8.52
machu picchu water system,2.0,138.0,0.0145,14.43
circuit 3b machu picchu view,2.0,135.0,0.0148,4.38
agencia de viajes en cusco,2.0,135.0,0.0148,6.19
tour operator,2.0,135.0,0.0148,9.68
when does it snow in peru,2.0,133.0,0.015,2.78
winay wayna peru,2.0,133.0,0.015,13.7
visit machu picchu,2.0,133.0,0.015,52.74
benefits of coca leaf tea,2.0,130.0,0.0154,7.48
lista de agencias de viajes en cusco,2.0,129.0,0.0155,1.99
is barranco safe at night,2.0,129.0,0.0155,8.33
bridge of sighs (lima) photos,2.0,127.0,0.0157,9.07
best hotels in aguas calientes peru,2.0,127.0,0.0157,27.68
clima huaraz,2.0,125.0,0.016,2.2
foods to eat during holy week,2.0,124.0,0.0161,4.4
machu picchu tour package from usa,2.0,124.0,0.0161,6.6
lima costa verde miraflores,2.0,123.0,0.0163,1.54
lord of miracles festival peru,2.0,123.0,0.0163,8.09
lima museums,2.0,123.0,0.0163,36.59
trips to peru 2025,2.0,118.0,0.0169,2.39
machu picchu route 1,2.0,116.0,0.0172,3.93
tunche,2.0,116.0,0.0172,5.19
circuit 1 vs circuit 2 machu picchu,2.0,115.0,0.0174,9.61
peru travel website,2.0,115.0,0.0174,12.57
is coca tea illegal,2.0,114.0,0.0175,2.4
what is huaca pucllana,2.0,114.0,0.0175,7.95
butterfly house aguas calientes,2.0,113.0,0.0177,7.85
ayacucho carnival,2.0,112.0,0.0179,4.08
food during holy week,2.0,109.0,0.0183,6.44
peru all inclusive resorts with flight,2.0,107.0,0.0187,11.5
machu picchu circuit 3d,2.0,105.0,0.019,2.45
vacations to peru machu picchu,2.0,105.0,0.019,14.27
1a machu picchu,2.0,103.0,0.0194,3.52
travel agency cusco peru,2.0,102.0,0.0196,15.42
machu picchu route 3,2.0,101.0,0.0198,6.11
"famous church in lima, peru",2.0,101.0,0.0198,8.98
places to go in lima,2.0,101.0,0.0198,40.64
vacation in peru all inclusive,2.0,100.0,0.02,8.29
machu picchu hotsprings,2.0,100.0,0.02,8.84
huarez altitude,2.0,98.0,0.0204,6.83
carnival peru 2026,2.0,97.0,0.0206,3.37
мачу пикчу,2.0,97.0,0.0206,3.43
best hotels in arequipa,2.0,97.0,0.0206,28.99
does it snow in peru?,2.0,96.0,0.0208,3.78
is ica worth visiting,2.0,95.0,0.0211,6.51
arequipa weather,2.0,92.0,0.0217,16.32
inca aqueduct system,2.0,91.0,0.022,5.36
weather lima peru,2.0,89.0,0.0225,2.8
macchu picchu travel,2.0,88.0,0.0227,12.16
all saints day in peru,2.0,87.0,0.023,4.01
valentines day in peru,2.0,86.0,0.0233,7.88
agencia turismo peru,2.0,85.0,0.0235,6.65
time in lima peru,2.0,85.0,0.0235,8.86
travel companies peru,2.0,83.0,0.0241,9.43
weather in lima in april,2.0,82.0,0.0244,9.65
peru travel group,2.0,82.0,0.0244,13.17
weather cusco,2.0,82.0,0.0244,35.18
weather at machu picchu,2.0,80.0,0.025,2.5
lima love,2.0,80.0,0.025,9.32
trips to machu pichu,2.0,80.0,0.025,14.84
eating guinea pig in peru,2.0,79.0,0.0253,3.9
is huaraz safe,2.0,79.0,0.0253,4.89
do peru eat guinea pigs,2.0,76.0,0.0263,4.07
travel agents in peru,2.0,76.0,0.0263,4.79
anniversary of lima,2.0,76.0,0.0263,5.25
huaraz perou,2.0,76.0,0.0263,5.82
best hotels in iquitos peru,2.0,71.0,0.0282,10.41
cusco fun facts,2.0,71.0,0.0282,12.94
vacation package to machu picchu,2.0,70.0,0.0286,6.61
altura huaraz,2.0,68.0,0.0294,6.29
peru rural areas,2.0,68.0,0.0294,13.37
inca golden sun disk,2.0,67.0,0.0299,5.78
