slug_sheet,slug_web,titulo,estado_sheet,en_sitemap,en_web_json,migrar,categoria_wp,estilo_viaje,tags,precio_usd_web,quote_only,duracion,duracion_ok,dias_itinerario,itinerario_ok,includes_count,excludes_count,gsc_clics_16m,gsc_impresiones_16m,gsc_posicion,en_hub_packages,url_web
grand-deluxe-cusco-machu-picchu-by-belmond-5-days,grand-deluxe-cusco-machu-picchu-by-belmond-5-days,Private Machu Picchu Tour 5 Days with Belmond Luxury,publish,yes,yes,yes,,,Luxury Peru Tours,0,yes,2D/1N,yes,5,yes,6,7,3,427,25.33,no,/tour/grand-deluxe-cusco-machu-picchu-by-belmond-5-days/
grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days,grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days,Private Machu Picchu Tour 5 Days with Casa Andina Hotels,publish,yes,yes,yes,,,Luxury Peru Tours,1264,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,5,yes,6,7,1,735,37.6,no,/tour/grand-deluxe-cusco-machu-picchu-by-casa-andina-hotels-5-days/
grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days,grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days,Private Machu Picchu Tour 5 Days with Inkaterra,publish,yes,yes,yes,,,Luxury Peru Tours,1836,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,5,yes,6,7,1,215,38.62,no,/tour/grand-deluxe-cusco-machu-picchu-by-inkaterra-hotels-5-days/
grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days,grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days,Private Machu Picchu Tour 5 Days with Luxury Collection Hotels,publish,yes,yes,yes,,,Luxury Peru Tours,1852,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,5,yes,6,7,8,999,38.33,no,/tour/grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days/
hidden-treasures-huaraz-17d,hidden-treasures-huaraz-17d,"17-Day Peru Itinerary with Huaraz, Cusco & Machu Picchu",publish,yes,yes,yes,Tours in Peru,Combined Travel,"Arequipa Tours, Huaraz Tours, Peru, Recommended",3030,no,17D/16N,yes,17,yes,17,7,8,842,21.05,yes,/tour/hidden-treasures-huaraz-17d/
holy-week-in-cusco,holy-week-in-cusco,Cusco Holy Week 2026 with 6-Day Cultural Experience,publish,yes,yes,yes,,Events &amp; Festivals,Offers,0,yes,1 day,yes,0,no,8,7,0,357,38.09,no,/tour/holy-week-in-cusco/
humantay-lake-full-day,humantay-lake-full-day,Humantay Lake Full-Day Tour from Cusco,publish,yes,yes,yes,Day Tours in Cusco,Trekking,"Cusco, Others",90,no,"19px ;""  >",yes,1,yes,1,5,1,1107,67.81,yes,/tour/humantay-lake-full-day/
inca-encounters-8d,inca-encounters-8d,"8-Day Peru Itinerary with Cusco, Machu Picchu & Puno",publish,yes,yes,yes,Tours in Peru,Combined Travel,"Peru, Puno Blog, Puno Tours",1144,no,8D/7N,yes,8,yes,9,7,2,3455,8.58,yes,/tour/inca-encounters-8d/
inca-jungle-combined-7d,inca-jungle-combined-7d,Inca Jungle Combined 7 days – Peru Grand Travel,publish,yes,yes,yes,,Adventure,,0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,7,yes,14,10,0,306,53.08,no,/tour/inca-jungle-combined-7d/
inca-jungle-trek-4d,inca-jungle-trek-4d,4-Day Inca Jungle Trail to Machu Picchu,publish,yes,yes,yes,Alternative Inca Trail Treks,Adventure,,550,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,4,yes,13,10,0,666,68.62,no,/tour/inca-jungle-trek-4d/
incredible-experience-machu-picchu-7-days,incredible-experience-machu-picchu-7d,7-Day Machu Picchu Itinerary with Cusco & Sacred Valley,draft,yes,yes,yes,Tours in Machu Picchu,,Machu Picchu Tours,935,no,7D/6N,yes,7,yes,8,7,,,,yes,/tour/incredible-experience-machu-picchu-7d/
incredible-experience-machu-picchu-7d,incredible-experience-machu-picchu-7d,7-Day Machu Picchu Itinerary with Cusco & Sacred Valley,publish,yes,yes,yes,Tours in Machu Picchu,,Machu Picchu Tours,935,no,7D/6N,yes,7,yes,8,7,2,9169,15.07,yes,/tour/incredible-experience-machu-picchu-7d/
incredible-machu-picchu-2d,incredible-machu-picchu-2d,2-Day Sacred Valley & Machu Picchu Tour by Train,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,Machu Picchu Tours,439,no,2D/1N,yes,2,yes,3,7,1,1329,45.54,yes,/tour/incredible-machu-picchu-2d/
inti-raymi-full-day,inti-raymi-full-day,Inti Raymi Festival Tour in Cusco 2026,publish,yes,yes,yes,,Events &amp; Festivals,Offers,350,no,4 days,yes,1,yes,1,4,3,317,29.37,no,/tour/inti-raymi-full-day/
lares-trek-4d,lares-trek-4d,4-Day Lares Trek to Machu Picchu,publish,yes,yes,yes,Alternative Inca Trail Treks,Trekking,Others,590,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,4,yes,16,8,2,553,66.22,yes,/tour/lares-trek-4d/
machu-picchu-challenge-8d,machu-picchu-challenge-8d,8-Day Machu Picchu Adventure Itinerary with Cusco,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,"Machu Picchu Tours, Popular Deals",1009,no,8D/7N,yes,8,yes,9,7,1,589,10.13,yes,/tour/machu-picchu-challenge-8d/
machu-picchu-experience-picnic-with-llamas-7d,machu-picchu-experience-picnic-with-llamas-7d,7-Day Machu Picchu Itinerary with Andean Picnic Experience,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,Recommended,982,no,7D/6N,yes,7,yes,8,8,7,1080,13.21,no,/tour/machu-picchu-experience-picnic-with-llamas-7d/
machu-picchu-express-3d,machu-picchu-express-3d,3-Day Machu Picchu Express Tour from Cusco,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,Machu Picchu Tours,598,no,3D/2N,yes,3,yes,4,7,1,528,29.78,no,/tour/machu-picchu-express-3d/
machu-picchu-extreme-challenge,machu-picchu-extreme-challenge,8-Day Machu Picchu Extreme Challenge Itinerary,publish,yes,yes,yes,"Best Selling Packages in Peru, Tours in Machu Picchu",Adrenaline,Machu Picchu Tours,1083,no,8D/7N,yes,8,yes,16,30,1,54,11.57,no,/tour/machu-picchu-extreme-challenge/
machu-picchu-full-day,machu-picchu-full-day,1-Day Machu Picchu Tour from Cusco by Train,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,Machu Picchu Tours,387,no,2D/1N,yes,1,yes,1,7,4,7000,30,yes,/tour/machu-picchu-full-day/
machu-picchu-humantay-lake-6d,machu-picchu-humantay-lake-6d,6-Day Machu Picchu Itinerary with Humantay Lake,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,"Cusco Blog, Machu Picchu Tours, Recommended",819,no,6D/5N,yes,6,yes,7,7,3,1176,32.89,yes,/tour/machu-picchu-humantay-lake-6d/
machu-picchu-moderate-4d,machu-picchu-moderate-4d,4-Day Machu Picchu Itinerary with Cusco & Sacred Valley,publish,yes,yes,yes,Tours in Machu Picchu,Traditional,Machu Picchu Tours,612,no,4D/3N,yes,4,yes,5,7,1,1209,38.05,yes,/tour/machu-picchu-moderate-4d/
maras-moray-and-salineras-atv-tour,maras-moray-and-salineras-atv-tour,Maras & Moray ATV Tour Full Day from Cusco,publish,yes,yes,yes,Day Tours in Cusco,Adrenaline,Cusco,120,no,7 hours) – in a group,no,1,yes,1,8,3,413,27.13,yes,/tour/maras-moray-and-salineras-atv-tour/
maras-moray-and-the-salineras-full-day,maras-moray-and-the-salineras-full-day,"Maras, Moray & Salt Mines Tour from Cusco",publish,yes,yes,yes,Day Tours in Cusco,"Adrenaline, Traditional",Cusco,60,no,1 day,yes,0,no,1,8,1,2816,46.89,yes,/tour/maras-moray-and-the-salineras-full-day/
moche-route-chiclayo-and-trujillo-5d,moche-route-chiclayo-and-trujillo-5d,≫ The Moche Route tour: Chiclayo and Trujillo 5 days,publish,yes,yes,yes,,,,0,yes,7D/6N,yes,5,yes,6,7,,,,no,/tour/moche-route-chiclayo-and-trujillo-5d/
origins-and-mysteries-of-the-andes-16d,origins-and-mysteries-of-the-andes-16d,"16-Day Peru Itinerary with Lima, Nazca, Arequipa & Cusco",publish,yes,yes,yes,Tours in Peru,Combined Travel,"Arequipa Tours, Ica Tours, Peru",2775,no,16D/15N,yes,16,yes,17,7,2,2490,15.46,yes,/tour/origins-and-mysteries-of-the-andes-16d/
origins-of-the-incas-10d,origins-of-the-incas-10d,"10-Day Peru Itinerary with Lima, Nazca, Cusco & Puno",publish,yes,yes,yes,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,"Gastronomic, Ica Tours, Lima tours, Peru, Popular Deals, Puno Blog",1593,no,10D/9N,yes,10,yes,11,7,0,1726,13.17,yes,/tour/origins-of-the-incas-10d/
palccoyo-rainbow-mountain-full-day,palccoyo-rainbow-mountain-full-day,Palccoyo Rainbow Mountain Full-Day Tour from Cusco,publish,yes,yes,yes,Day Tours in Cusco,Trekking,"Cusco, Others",90,no,1 day,yes,1,yes,1,7,3,1697,53.23,yes,/tour/palccoyo-rainbow-mountain-full-day/
peru-amazon-rainforest-9d,peru-amazon-rainforest-9d,9-Day Peru Itinerary: Cultural Amazon & Machu Picchu Tour,publish,yes,yes,yes,Tours in Peru,Combined Travel,Peru,0,yes,9D/8N,yes,9,yes,10,7,2,420,47.65,yes,/tour/peru-amazon-rainforest-9d/
peru-grand-deluxe-by-belmond-andean-explorer-10-days,peru-grand-deluxe-by-belmond-andean-explorer-10-days,10-Day Luxury Peru Tour with Belmond Andean Explorer,publish,yes,yes,yes,,,Luxury Peru Tours,0,yes,7D/6N,yes,10,yes,11,7,23,19333,45.14,no,/tour/peru-grand-deluxe-by-belmond-andean-explorer-10-days/
peru-grand-deluxe-lima-cusco-machu-picchu-7days,peru-grand-deluxe-lima-cusco-machu-picchu-7days,"7-Day Luxury Peru Tour with Lima, Cusco & Machu Picchu",publish,yes,yes,yes,,,Luxury Peru Tours,0,yes,7D/6N,yes,7,yes,7,7,6,4788,45.6,no,/tour/peru-grand-deluxe-lima-cusco-machu-picchu-7days/
peru-private-romance,peru-private-romance,Peru Private Romance,draft,no,no,no,,Combined Travel,"Ica Tours, Peru, Recommended",,yes,,,0,no,0,0,,,,no,
peru-private-romance-copy,peru-private-romance-copy,Peru Private Circle,draft,no,no,no,,Combined Travel,"Ica Tours, Peru, Recommended",,yes,,,0,no,0,0,,,,no,
qeswachaka-bridge-full-day,qeswachaka-bridge-full-day,Q’eswachaka Bridge Full-Day Tour from Cusco,publish,yes,yes,yes,Day Tours in Cusco,Culture,Cusco,90,no,1 day,yes,1,yes,1,4,1,1611,30.18,yes,/tour/qeswachaka-bridge-full-day/
rainbow-mountain-full-day,rainbow-mountain-full-day,Rainbow Mountain ATV Full-Day Tour from Cusco,publish,yes,yes,yes,Day Tours in Cusco,Trekking,"Cusco, Others",90,no,1 day,yes,1,yes,1,6,4,3008,49.94,yes,/tour/rainbow-mountain-full-day/
